back-pedal	back-pedals	back-pedalled	back-pedalled	back-pedalling
backbite	backbites	backbit	backbitten	backbiting
backburner	backburners	backburnered	backburnered	backburnering
backcomb	backcombs	backcombed	backcombed	backcombing
backcross	backcrosses	backcrossed	backcrossed	backcrossing
backdate	backdates	backdated	backdated	backdating
backfill	backfills	backfilled	backfilled	backfilling
backfire	backfires	backfired	backfired	backfiring
backhand	backhands	backhanded	backhanded	backhanding
backheel	backheels	backheeled	backheeled	backheeling
backlight	backlights	backlit	backlit	backlighting
backlink	backlinks	backlinked	backlinked	backlinking
backpack	backpacks	backpacked	backpacked	backpacking
backpedal	backpedals	backpedalled	backpedalled	backpedalling
backslide	backslides	backslid	backslidden	backsliding
backslide	backslides	backslided	backslided	backsliding
backspace	backspaces	backspaced	backspaced	backspacing
backstitch	backstitches	backstitched	backstitched	backstitching
backstroke	backstrokes	backstroked	backstroked	backstroking
backtrack	backtracks	backtracked	backtracked	backtracking
backwash	backwashes	backwashed	backwashed	backwashing
backwater	backwaters	backwatered	backwatered	backwatering
bad-mouth	bad-mouths	bad-mouthed	bad-mouthed	bad-mouthing
badger	badgers	badgered	badgered	badgering
badmouth	badmouths	badmouthed	badmouthed	badmouthing
baffle	baffles	baffled	baffled	baffling
bag	bags	bagged	bagged	bagging
bail	bails	bailed	bailed	bailing
bait	baits	baited	baited	baiting
baize	baizes	baized	baized	baizing
bake	bakes	baked	baked	baking
baksheesh	baksheeshes	baksheeshed	baksheeshed	baksheeshing
balance	balances	balanced	balanced	balancing
bale	bales	baled	baled	baling
balk	balks	balked	balked	balking
balkanise	balkanises	balkanised	balkanised	balkanising
balkanize	balkanizes	balkanized	balkanized	balkanizing
ball	balls	balled	balled	balling
ballast	ballasts	ballasted	ballasted	ballasting
balloon	balloons	ballooned	ballooned	ballooning
ballot	ballots	balloted	balloted	balloting
balls	ballses	ballsed	ballsed	ballsing
ballyhoo	ballyhoos	ballyhooed	ballyhooed	ballyhooing
ballyrag	ballyrags	ballyragged	ballyragged	ballyragging
bamboozle	bamboozles	bamboozled	bamboozled	bamboozling
ban	bans	banned	banned	banning
band	bands	banded	banded	banding
bandage	bandages	bandaged	bandaged	bandaging
bandy	bandies	bandied	bandied	bandying
bang	bangs	banged	banged	banging
banish	banishes	banished	banished	banishing
bank	banks	banked	banked	banking
bankroll	bankrolls	bankrolled	bankrolled	bankrolling
bankrupt	bankrupts	bankrupted	bankrupted	bankrupting
banquet	banquets	banqueted	banqueted	banqueting
bant	bants	banted	banted	banting
banter	banters	bantered	bantered	bantering
baptise	baptises	baptised	baptised	baptising
baptize	baptizes	baptized	baptized	baptizing
bar	bars	barred	barred	barring
bar-hop	bar-hops	bar-hopped	bar-hopped	bar-hopping
barbarize	barbarizes	barbarized	barbarized	barbarizing
barbecue	barbecues	barbecued	barbecued	barbecuing
barber	barbers	barbered	barbered	barbering
barde	bards	barded	barded	barding
bare	bares	bared	bared	baring
